Job Zone,Occupation,Data-level,Code,cps_code
5,"Psychology Teachers, Postsecondary",Y,25-1066.00,2205
5,"Sociology Teachers, Postsecondary",Y,25-1067.00,2205
,"Social Sciences Teachers, Postsecondary, All Other",,25-1069.00,2205
5,"Health Specialties Teachers, Postsecondary",Y,25-1071.00,2205
5,"Nursing Instructors and Teachers, Postsecondary",Y,25-1072.00,2205
5,"Education Teachers, Postsecondary",Y,25-1081.00,2205
5,"Library Science Teachers, Postsecondary",Y,25-1082.00,2205
5,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Y,25-1111.00,2205
5,"Law Teachers, Postsecondary",Y,25-1112.00,2205
5,"Social Work Teachers, Postsecondary",Y,25-1113.00,2205
5,"Art, Drama, and Music Teachers, Postsecondary",Y,25-1121.00,2205
5,"Communications Teachers, Postsecondary",Y,25-1122.00,2205
5,"English Language and Literature Teachers, Postsecondary",Y,25-1123.00,2205
5,"Foreign Language and Literature Teachers, Postsecondary",Y,25-1124.00,2205
5,"History Teachers, Postsecondary",Y,25-1125.00,2205
5,"Philosophy and Religion Teachers, Postsecondary",Y,25-1126.00,2205
5,"Family and Consumer Sciences Teachers, Postsecondary",Y,25-1192.00,2205
5,"Recreation and Fitness Studies Teachers, Postsecondary",Y,25-1193.00,2205
3,"Career/Technical Education Teachers, Postsecondary",Y,25-1194.00,2205
,"Postsecondary Teachers, All Other",,25-1199.00,2205
3,"Preschool Teachers, Except Special Education",Y,25-2011.00,2300
4,"Kindergarten Teachers, Except Special Education",Y,25-2012.00,2300
4,"Elementary School Teachers, Except Special Education",Y,25-2021.00,2310
4,"Middle School Teachers, Except Special and Career/Technical Education",Y,25-2022.00,2310
4,"Career/Technical Education Teachers, Middle School",Y,25-2023.00,2310
4,"Secondary School Teachers, Except Special and Career/Technical Education",Y,25-2031.00,2320
4,"Career/Technical Education Teachers, Secondary School",Y,25-2032.00,2320
5,"Special Education Teachers, Preschool",Y,25-2051.00,2330
4,"Special Education Teachers, Kindergarten",Y,25-2055.00,2330
4,"Special Education Teachers, Elementary School",Y,25-2056.00,2330
4,"Special Education Teachers, Middle School",Y,25-2057.00,2330
4,"Special Education Teachers, Secondary School",Y,25-2058.00,2330
,"Special Education Teachers, All Other",,25-2059.00,2330
5,Adapted Physical Education Specialists,Y,25-2059.01,2330
4,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Y,25-3011.00,2360
3,Self-Enrichment Teachers,Y,25-3021.00,2360
4,"Substitute Teachers, Short-Term",Y,25-3031.00,2360
3,Tutors,Y,25-3041.00,2350
,"Teachers and Instructors, All Other",,25-3099.00,2360
5,Archivists,Y,25-4011.00,2400
5,Curators,Y,25-4012.00,2400
4,Museum Technicians and Conservators,Y,25-4013.00,2400
5,Librarians and Media Collections Specialists,Y,25-4022.00,2435
3,Library Technicians,Y,25-4031.00,2440
5,Farm and Home Management Educators,Y,25-9021.00,2555
5,Instructional Coordinators,Y,25-9031.00,2555
3,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Y,25-9042.00,2545
3,"Teaching Assistants, Special Education",Y,25-9043.00,2545
5,"Teaching Assistants, Postsecondary",Y,25-9044.00,2545
,"Teaching Assistants, All Other",,25-9049.00,2545
,"Educational Instruction and Library Workers, All Other",,25-9099.00,2555
4,Art Directors,Y,27-1011.00,2600
3,Craft Artists,Y,27-1012.00,2600
3,"Fine Artists, Including Painters, Sculptors, and Illustrators",Y,27-1013.00,2600
4,Special Effects Artists and Animators,Y,27-1014.00,2600
,"Artists and Related Workers, All Other",,27-1019.00,2600
4,Commercial and Industrial Designers,Y,27-1021.00,2631
3,Fashion Designers,Y,27-1022.00,2632
2,Floral Designers,Y,27-1023.00,2633
4,Graphic Designers,Y,27-1024.00,2634
4,Interior Designers,Y,27-1025.00,2635
3,Merchandise Displayers and Window Trimmers,Y,27-1026.00,2636
5,Set and Exhibit Designers,Y,27-1027.00,2640
,"Designers, All Other",,27-1029.00,2640
2,Actors,Y,27-2011.00,2700
4,Producers and Directors,Y,27-2012.00,2710
4,Media Programming Directors,Y,27-2012.03,2710
4,Talent Directors,Y,27-2012.04,2710
4,Media Technical Directors/Managers,Y,27-2012.05,2710
2,Athletes and Sports Competitors,Y,27-2021.00,2721
4,Coaches and Scouts,Y,27-2022.00,2722
2,"Umpires, Referees, and Other Sports Officials",Y,27-2023.00,2723
3,Dancers,Y,27-2031.00,2740
3,Choreographers,Y,27-2032.00,2740
4,Music Directors and Composers,Y,27-2041.00,2751
4,Musicians and Singers,Y,27-2042.00,2752
2,"Disc Jockeys, Except Radio",Y,27-2091.00,2755
,"Entertainers and Performers, Sports and Related Workers, All Other",,27-2099.00,2770
4,Broadcast Announcers and Radio Disc Jockeys,Y,27-3011.00,2805
4,"News Analysts, Reporters, and Journalists",Y,27-3023.00,2810
4,Public Relations Specialists,Y,27-3031.00,2825
4,Editors,Y,27-3041.00,2830
4,Technical Writers,Y,27-3042.00,2840
4,Writers and Authors,Y,27-3043.00,2850
4,"Poets, Lyricists and Creative Writers",Y,27-3043.05,2850
4,Interpreters and Translators,Y,27-3091.00,2861
3,Court Reporters and Simultaneous Captioners,Y,27-3092.00,2862
,"Media and Communication Workers, All Other",,27-3099.00,2865
3,Audio and Video Technicians,Y,27-4011.00,2905
3,Broadcast Technicians,Y,27-4012.00,2905
3,Sound Engineering Technicians,Y,27-4014.00,2905
3,Lighting Technicians,Y,27-4015.00,2905
3,Photographers,Y,27-4021.00,2910
3,"Camera Operators, Television, Video, and Film",Y,27-4031.00,2920
4,Film and Video Editors,Y,27-4032.00,2920
,"Media and Communication Equipment Workers, All Other",,27-4099.00,2970
5,Chiropractors,Y,29-1011.00,3000
5,"Dentists, General",Y,29-1021.00,3010
5,Oral and Maxillofacial Surgeons,Y,29-1022.00,3010
5,Orthodontists,Y,29-1023.00,3010
5,Prosthodontists,Y,29-1024.00,3010
,"Dentists, All Other Specialists",,29-1029.00,3010
5,Dietitians and Nutritionists,Y,29-1031.00,3030
5,Optometrists,Y,29-1041.00,3040
5,Pharmacists,Y,29-1051.00,3050
5,Physician Assistants,Y,29-1071.00,3110
5,Anesthesiologist Assistants,Y,29-1071.01,3110
5,Podiatrists,Y,29-1081.00,3120
5,Occupational Therapists,Y,29-1122.00,3150
5,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Y,29-1122.01,3150
5,Physical Therapists,Y,29-1123.00,3160
3,Radiation Therapists,Y,29-1124.00,3200
4,Recreational Therapists,Y,29-1125.00,3210
3,Respiratory Therapists,Y,29-1126.00,3220
5,Speech-Language Pathologists,Y,29-1127.00,3230
4,Exercise Physiologists,Y,29-1128.00,3235
,"Therapists, All Other",,29-1129.00,3245
5,Art Therapists,Y,29-1129.01,3245
4,Music Therapists,Y,29-1129.02,3245
5,Veterinarians,Y,29-1131.00,3250
4,Registered Nurses,Y,29-1141.00,3255
3,Acute Care Nurses,Y,29-1141.01,3255
5,Advanced Practice Psychiatric Nurses,Y,29-1141.02,3255
4,Critical Care Nurses,Y,29-1141.03,3255
5,Clinical Nurse Specialists,Y,29-1141.04,3255
5,Nurse Anesthetists,Y,29-1151.00,3256
5,Nurse Midwives,Y,29-1161.00,3257
5,Nurse Practitioners,Y,29-1171.00,3258
5,Audiologists,Y,29-1181.00,3140
5,Anesthesiologists,Y,29-1211.00,3090
5,Cardiologists,Y,29-1212.00,3090
5,Dermatologists,Y,29-1213.00,3090
5,Emergency Medicine Physicians,Y,29-1214.00,3065
5,Family Medicine Physicians,Y,29-1215.00,3090
5,General Internal Medicine Physicians,Y,29-1216.00,3090
5,Neurologists,Y,29-1217.00,3090
5,Obstetricians and Gynecologists,Y,29-1218.00,3090
5,"Pediatricians, General",Y,29-1221.00,3090
5,"Physicians, Pathologists",Y,29-1222.00,3090
5,Psychiatrists,Y,29-1223.00,3090
5,Radiologists,Y,29-1224.00,3070
,"Physicians, All Other",,29-1229.00,3090
5,Allergists and Immunologists,Y,29-1229.01,3090
5,Hospitalists,Y,29-1229.02,3090
5,Urologists,Y,29-1229.03,3090
5,Physical Medicine and Rehabilitation Physicians,Y,29-1229.04,3090
5,Preventive Medicine Physicians,Y,29-1229.05,3090
5,Sports Medicine Physicians,Y,29-1229.06,3090
5,"Ophthalmologists, Except Pediatric",Y,29-1241.00,3100
5,"Orthopedic Surgeons, Except Pediatric",Y,29-1242.00,3100
5,Pediatric Surgeons,Y,29-1243.00,3100
,"Surgeons, All Other",,29-1249.00,3100
5,Acupuncturists,Y,29-1291.00,3261
3,Dental Hygienists,Y,29-1292.00,3310
,"Healthcare Diagnosing or Treating Practitioners, All Other",,29-1299.00,3270
5,Naturopathic Physicians,Y,29-1299.01,3270
5,Orthoptists,Y,29-1299.02,3270
4,Medical and Clinical Laboratory Technologists,Y,29-2011.00,3300
4,Cytogenetic Technologists,Y,29-2011.01,3300
5,Cytotechnologists,Y,29-2011.02,3300
4,Histotechnologists,Y,29-2011.04,3300
3,Medical and Clinical Laboratory Technicians,Y,29-2012.00,3300
3,Histology Technicians,Y,29-2012.01,3300
3,Cardiovascular Technologists and Technicians,Y,29-2031.00,3321
3,Diagnostic Medical Sonographers,Y,29-2032.00,3322
3,Nuclear Medicine Technologists,Y,29-2033.00,3330
3,Radiologic Technologists and Technicians,Y,29-2034.00,3323
3,Magnetic Resonance Imaging Technologists,Y,29-2035.00,3324
4,Medical Dosimetrists,Y,29-2036.00,3330
3,Emergency Medical Technicians,Y,29-2042.00,3401
3,Paramedics,Y,29-2043.00,3402
3,Dietetic Technicians,Y,29-2051.00,3430
3,Pharmacy Technicians,Y,29-2052.00,3421
3,Psychiatric Technicians,Y,29-2053.00,3422
3,Surgical Technologists,Y,29-2055.00,3423
3,Veterinary Technologists and Technicians,Y,29-2056.00,3424
3,Ophthalmic Medical Technicians,Y,29-2057.00,3430
3,Licensed Practical and Licensed Vocational Nurses,Y,29-2061.00,3500
3,Medical Records Specialists,Y,29-2072.00,3515
3,"Opticians, Dispensing",Y,29-2081.00,3520
5,Orthotists and Prosthetists,Y,29-2091.00,3545
3,Hearing Aid Specialists,Y,29-2092.00,3545
,"Health Technologists and Technicians, All Other",,29-2099.00,3545
3,Neurodiagnostic Technologists,Y,29-2099.01,3545
3,Ophthalmic Medical Technologists,Y,29-2099.05,3545
3,Patient Representatives,Y,29-2099.08,3545
